PERIODO,PESO_1,VALOR_1,NUM_OPERACIONES_1,PESO_2,VALOR_2,NUM_OPERACIONES_2,PESO_3,VALOR_3,NUM_OPERACIONES_3,PESO_4,VALOR_4,NUM_OPERACIONES_4,PESO_5,VALOR_5,NUM_OPERACIONES_5,PESO_6,VALOR_6,NUM_OPERACIONES_6,PESO_7,VALOR_7,NUM_OPERACIONES_7,PESO_8,VALOR_8,NUM_OPERACIONES_8,PESO_9,VALOR_9,NUM_OPERACIONES_9,PESO_10,VALOR_10,NUM_OPERACIONES_10,PESO_11,VALOR_11,NUM_OPERACIONES_11,PESO_12,VALOR_12,NUM_OPERACIONES_12,PESO_13,VALOR_13,NUM_OPERACIONES_13,PESO_14,VALOR_14,NUM_OPERACIONES_14,PESO_15,VALOR_15,NUM_OPERACIONES_15,PESO_16,VALOR_16,NUM_OPERACIONES_16,PESO_17,VALOR_17,NUM_OPERACIONES_17,PESO_18,VALOR_18,NUM_OPERACIONES_18,PESO_19,VALOR_19,NUM_OPERACIONES_19,PESO_20,VALOR_20,NUM_OPERACIONES_20,PESO_21,VALOR_21,NUM_OPERACIONES_21,PESO_22,VALOR_22,NUM_OPERACIONES_22,PESO_23,VALOR_23,NUM_OPERACIONES_23,tm_mes,w_med,p_mes,hr,e,w_racha_dir,w_racha_speed,PIB
Ene/14,0,0.0,0,20480,161590.43,17,1762044,7451234.36,1484,241076,307944.95,39,548,29738.11,7,82888,279151.61,73,4647664,2401921.78,140,4881769,3493162.98,109,356574,776344.18,22,96257627,18698534.38,17,105220,14937.01,3,52,17514.24,5,55,1937.5,2,0,0.0,0,14978,16269.87,2,19531,61603.0,6,67527376,31630566.92,47,66873,166793.11,85,62751,97386.64,43,143638,167085.94,28,6617,18661.05,21,1703954,6039811.45,152,14134259,5448839.55,36,13.2,20.0,130.3,76.0,120.0,25.0,27.5,315945.0
Feb/14,1617,15667.68,6,28357,209912.23,29,2766260,9851902.35,1366,187323,358730.54,42,1229,24001.95,8,63321,260493.1,67,4155779,1655281.35,100,2714580,2228275.82,81,230837,516820.13,19,1,14.68,1,1200,1964.74,1,4342,67108.58,9,0,0.0,0,96000,34545.25,2,33410,22052.3,4,11459,27278.9,4,71545714,25430680.81,38,22842,35024.61,66,50824,83255.82,32,65657,61181.16,16,33642,99011.74,26,1447727,4818733.47,171,17396917,6493372.31,48,12.7,20.0,57.0,72.0,113.0,24.0,26.4,315945.0
Mar/14,2168,20771.54,4,39998,236089.89,32,2333843,9376101.44,1498,444362,497602.91,45,1193,64545.32,11,46103,209256.66,68,3138319,1786331.34,134,5409042,4519699.45,150,500038,877979.94,22,9,54.46,1,1500,2455.92,1,3658415,1216508.93,12,27,368.83,3,47196,13546.11,2,7968736,5346583.84,9,12158,27816.32,4,36460907,13514168.19,44,32650,70692.53,105,107387,184541.36,40,94866,76562.04,24,67635,112439.46,23,1198703,2192913.45,128,4604033,1608188.47,42,14.3,24.0,136.6,83.25,118.0,9.0,26.1,315945.0
Abr/14,105,6388.48,2,116501,375152.33,35,3097984,10280540.18,1610,409998,421632.82,44,187,3185.68,9,88988,362817.79,73,1067706,893340.16,66,3577522,2954158.02,100,606667,840743.75,26,11645104,2300472.93,4,900,1473.55,1,3700784,1201124.38,10,0,0.0,0,3,4.46,1,9086104,6339648.34,7,28462,78150.24,10,81828,56390.43,49,34089,92977.87,111,55005,105226.86,60,92569,112647.58,30,44268,81833.83,34,1011141,1937532.81,197,9144806,3812957.3,48,16.6,22.0,50.9,77.0,151.0,8.0,21.1,297470.0
May/14,2062,41020.21,7,185644,504055.77,47,3963593,12011060.64,1717,685920,583072.45,44,29,428.45,8,42393,224233.91,83,2041205,1256485.08,82,4960589,3830322.81,131,503768,832230.37,25,7383238,1611292.72,7,319,578.18,3,6227038,2636220.25,11,44,1457.0,1,3,4.95,1,10538498,7634846.53,10,21786,50693.57,7,7768506,2218358.49,55,29195,88783.02,81,38643,92303.36,47,77189,108733.24,25,71291,112194.13,33,1276184,2685633.04,129,23505458,8669278.36,45,19.1,27.0,21.25,72.0,161.0,8.0,23.9,297470.0
Jun/14,587,22339.94,3,207717,462882.72,42,2522715,8805179.86,1846,189545,331653.58,51,573,53013.97,8,75529,313793.86,65,1185563,970033.02,78,3183716,2675640.2,95,693137,1192055.67,21,2,14.57,1,0,0.0,0,15208,38862.69,10,12,349.52,1,238800,62212.72,6,14479992,9918795.46,8,545455,280549.52,8,153259,59739.78,50,192723,126107.12,77,38531,101545.32,50,86355,104334.73,21,64676,128199.72,21,1204089,2265681.81,164,14367411,5347715.15,43,21.425,18.0,3.65,77.25,186.0,7.5,22.275,297470.0
Jul/14,6630,84238.84,14,69638,305748.28,47,4108531,13728493.98,1850,217618,312038.54,40,635,20140.22,7,78129,342811.55,73,522566,346785.12,22,3571043,3392353.26,108,298560,551420.14,15,40803815,8363619.76,4,10,44.9,1,62,10346.71,5,5,249.75,1,208281,67854.2,7,26829076,18269811.44,9,15272,34166.28,4,3502589,1086676.82,43,186357,71473.86,76,40679,95298.94,48,86338,128309.06,42,46668,82392.08,60,1414412,3423755.82,148,22741644,5640647.76,58,22.0,20.0,0.0,77.0,207.0,9.0,20.3,305414.0
Ago/14,1684,32908.79,3,130697,304393.69,32,2936590,13846248.63,1976,241065,339246.04,38,552,4619.08,9,215338,418859.15,71,483511,322318.33,22,2264675,2450201.44,92,415620,712998.23,22,96177410,19538233.34,11,5,22.0,1,8255646,3316566.41,12,0,0.0,0,25654,8353.69,3,13513859,8631309.52,8,57403,310213.91,9,4051446,1440573.35,45,34248,133720.14,74,51097,123634.86,53,132588,164203.62,24,83912,96442.52,24,524732,1571131.23,144,19675816,5985232.27,50,23.1,20.0,0.0,79.0,228.0,8.0,23.3,305414.0
Sep/14,101870,243845.94,6,185205,438761.73,45,2658460,14001819.78,2233,199440,305915.67,41,523,9102.11,7,160939,489253.85,65,3487390,1175157.28,21,2628656,2156032.91,96,458369,865520.8,20,11872186,2037276.2,7,0,0.0,0,6223419,1962342.34,13,0,0.0,0,416,4052.74,2,2014330,1277226.5,6,42629,136555.26,13,189935117,74329974.77,73,26368,88221.58,84,34069,77717.12,58,85543,110330.23,23,45050,86975.48,24,1808937,4576294.51,179,22107239,6199241.54,52,22.3,16.0,30.1,82.0,226.0,8.0,18.9,305414.0
Oct/14,17036,51126.03,2,255211,620608.23,42,2412506,11904027.88,1322,659723,595368.81,41,1029,48191.85,9,159034,587647.93,98,370727,288826.66,19,2915206,2144820.87,85,387928,686482.52,18,24813858,5072794.65,3,7,28.0,1,44481,216697.53,12,5,249.75,1,31,52.16,2,17819359,11187663.02,15,40055,103959.88,12,64838046,25827777.29,49,25554,83245.74,83,39921,90621.52,52,4485307,1219691.61,23,43689,85302.97,27,1298093,2117754.69,179,42131451,10058530.25,58,21.1,25.0,19.5,81.0,201.0,25.0,27.5,288049.0
Nov/14,17001,47084.54,2,110813,340936.98,31,2604390,12959686.76,1506,225647,370278.74,40,19371,100656.17,12,132230,404178.42,90,872888,828503.13,68,2130878,1432684.91,80,457138,768531.69,20,36387924,6269269.79,6,18732,7008.48,2,12860812,3991256.95,11,24,975.22,2,0,0.0,0,12690,14019.28,5,44103,118634.36,7,7877520,2904531.04,44,24182,40190.06,67,41580,79545.29,36,70125,81019.23,20,69527,83459.77,26,1339104,2756566.53,136,20796733,5817757.11,59,16.633333333333336,18.0,109.63333333333333,81.66666666666667,150.0,24.0,25.6,288049.0
Dic/14,0,0.0,0,135941,438266.03,52,3480015,17680737.43,1646,141836,230892.06,35,552,26646.63,14,171731,422897.86,81,5614224,2344853.62,98,2842649,2265157.4,110,191601,548011.7,13,72212352,18072591.34,10,10,44.0,2,256787,175245.26,15,0,0.0,0,0,0.0,0,16357,18047.94,5,30769,70932.9,6,30107568,15271193.87,69,26001,78376.61,88,34849,65425.25,49,60164,69373.63,19,65717,100302.51,21,1440375,4482450.64,188,31333755,10327555.47,63,12.9,18.0,45.0,80.0,124.0,7.0,20.3,288049.0
Ene/15,2000,8489.9,3,102450,237568.95,35,1950189,9898407.67,1180,188678,257511.91,36,43505,181107.86,14,76514,270164.29,47,3253263,1837807.93,96,2021697,1656258.41,85,367543,749606.91,14,37595941,6727873.45,14,0,0.0,0,4819602,1856111.81,14,6008,35331.62,2,0,0.0,0,6829753,4523028.81,6,24371,61334.01,4,23228895,9260230.72,59,41235,183803.88,77,41417,87151.41,46,80829,86375.79,25,27101,43791.68,36,883962,1582670.81,131,21086297,7298343.69,57,12.3,21.0,40.8,83.0,126.0,26.0,21.7,305396.0
Feb/15,0,0.0,0,74962,327530.69,28,2519919,12847381.37,1344,137461,294683.31,41,1107,63296.53,12,60491,260242.76,67,2556898,1496609.4,83,2724975,3212454.09,115,235563,490356.57,16,33206509,6564794.05,8,12,54.0,1,5546,36046.05,11,0,0.0,0,0,0.0,0,5041542,2944264.48,8,15465,46562.74,11,27822518,13101226.31,52,24945,52634.11,64,29614,65983.8,48,71119,103355.56,19,44199,89754.32,35,1080091,1496773.47,146,36751146,10635805.21,63,11.8,22.0,35.5,81.0,115.0,8.0,22.8,305396.0
Mar/15,2700,42208.93,1,252929,361519.44,59,2224967,10189232.19,1719,139512,238468.01,33,22510,91017.51,17,71665,349717.52,71,3835614,1862912.7,102,2532024,3072300.84,108,347303,799378.13,13,52566532,7679623.37,18,35,178.0,3,72285,51312.38,12,0,0.0,0,64,74.75,1,5864290,3790163.44,12,44547,92210.44,5,72964556,23991787.19,58,43353,119444.75,68,48652,155875.81,49,99205,109192.22,22,50004,139159.92,45,735355,1361495.97,121,26699801,9438437.0,70,14.0,20.0,169.2,84.0,136.0,9.0,25.3,305396.0
Abr/15,2000,14000.0,1,94778,350681.69,86,2952080,12014211.99,1840,133677,232682.21,174,551,41644.74,17,55843,251952.59,50,8493951,2906669.79,111,2613045,3785921.18,107,213197,500402.77,31,46584664,12183970.75,17,447,1171.04,17,29643,44976.9,12,0,0.0,0,10,100.56,3,18548714,11325579.42,25,19603,63346.45,123,126169,113484.37,84,41501,116629.73,131,41543,88474.03,348,65707,76507.03,126,47244,89954.29,121,752049,1741482.85,163,21003541,7379099.82,91,15.9,25.0,14.0,85.66666666666667,156.0,7.0,26.4,287460.0
May/15,39953,97092.68,4,316817,441468.15,87,2458775,9764840.17,1711,103458,212836.04,156,1248,22151.35,11,64638,327853.0,88,2450521,1856177.62,147,2828411,3523916.39,113,419606,816854.08,32,27033105,4690826.38,15,229,286.11,10,75956,55722.25,12,400,4724.0,1,172,165.76,3,8238906,5384668.23,15,27337,81277.62,119,750605,308760.7,78,63870,186778.65,109,45951,92561.84,336,75700,82114.92,172,22980,62028.74,167,1009582,1454869.45,192,17178686,5501257.11,96,19.0,26.0,6.0,78.0,176.0,8.0,21.7,287460.0
Jun/15,529,11261.3,3,132242,268627.52,97,2286615,9997412.46,2016,5475,16929.33,145,826,49362.51,20,43366,274937.74,66,853642,857588.29,85,2218496,2239919.99,85,362615,639226.88,33,4093056,1121074.3,17,169,398.44,13,64713,78756.74,12,200,17808.96,1,0,0.0,0,28478261,17972672.14,24,35122,99721.73,102,2672370,1119693.95,99,45300,221603.55,115,736324,121769.8,342,120337,143441.29,166,52798,143771.65,176,1390818,2794516.46,173,15925264,2856043.47,117,21.3,26.0,12.5,79.0,201.0,7.0,22.2,287460.0
Jul/15,0,0.0,0,43902,245927.8,98,2428946,11617054.93,1720,526731,369083.21,177,159,3437.58,17,65672,306142.15,70,538373,738247.03,56,2455954,2669189.82,96,545395,1018063.8,31,11604232,2750090.57,14,119,272.58,9,20001427,6380945.91,20,10,499.5,1,8,16.02,1,13230916,8256298.58,17,27450,98346.39,107,862204,362305.96,95,33178,125387.42,89,75157,165427.15,313,77365,91002.79,154,67954,252846.56,188,1270742,4323053.04,191,24207202,5668553.47,133,24.6,20.0,0.0,81.0,258.0,6.0,22.5,295595.0
Ago/15,0,0.0,0,36142,249969.87,86,2933278,16758451.87,2123,547240,373244.41,167,257,4643.49,15,100018,360855.38,45,207290,177614.13,46,1700107,1870425.56,76,436977,974217.06,28,136889542,23939449.87,46,197,245.11,10,20694062,6960597.86,16,230,2386.59,2,187738,62650.69,6,18026906,11275992.17,18,26011,70409.51,100,911766,432471.9,100,45260,145118.86,104,84152,305490.19,325,73581,90332.68,162,28242,59528.48,188,820571,1729342.32,170,21173012,6447566.78,112,24.2,21.0,0.3,83.0,255.0,8.0,21.9,295595.0
Sep/15,16000,43150.0,1,509949,399049.58,92,3322588,12818635.81,1511,1112172,231227.64,153,126,6390.12,16,190352,402245.56,96,865174,599726.56,61,2209291,2107147.01,86,288560,611353.41,31,29598018,5024499.87,16,3751,2592.54,13,6743345,2282607.63,11,0,0.0,0,313533,143797.92,17,17994532,11247431.93,20,12539,37025.23,98,25005597,7182971.84,79,60961,292479.98,104,76713,183115.55,327,68049,90535.65,163,44707,118505.62,152,1179117,2848835.22,163,15318077,4042351.77,105,22.0,18.0,2.2,82.0,216.0,9.0,19.4,295595.0
Oct/15,1,457.0,1,51938,206934.14,90,3274391,12454190.02,1690,80833,152238.9,154,55,3168.93,12,141427,496463.74,89,1325578,887766.1,58,2649758,1876745.71,103,365419,770023.0,36,89333622,15841439.99,17,160,366.92,12,4302,215308.77,15,0,0.0,0,50195,23580.51,5,4057757,2183224.33,14,40215,63625.17,97,3361,14831.7,84,65369,242468.02,116,40073,143677.58,345,79264,80458.7,140,25208,43669.21,167,898453,3017653.67,142,9242478,2453432.11,108,21.2,15.0,89.2,80.0,200.0,8.0,16.9,277868.0
Nov/15,18054,57069.4,3,18889,100469.76,81,2620497,10724002.04,1846,149275,293535.01,163,22231,221983.14,15,111794,389519.41,75,1495317,834056.03,90,4655949,2863260.21,103,263565,531688.15,37,52842218,11176276.89,22,330,560.47,15,31816,69742.64,13,200,17450.54,1,5,57.0,1,12211,13759.83,12,124598,243519.94,132,60043,41766.86,86,81949,348039.91,121,54477,138615.55,351,54417,76506.73,146,27901,47304.91,146,747336,1624696.69,144,10558180,2721417.43,106,18.3,21.0,21.7,82.0,176.0,10.0,23.6,277868.0
Dic/15,838,7133.61,3,610033,587605.67,31,2658367,12863777.02,2048,128886,175568.22,25,294,4954.4,19,105744,355449.56,98,3047421,1798914.67,85,5650392,4525102.68,165,285513,671460.24,22,930856,268050.01,27,12,32.0,2,34000,95899.19,16,58080,6196.08,1,31105,13872.47,3,4011272,1928608.86,6,29346,88359.02,37,26309043,9697752.97,135,106172,432040.54,154,67090,224764.84,684,56687,60591.21,189,130863,172569.51,301,929046,1982389.16,226,15883243,3998669.5,163,18.2,26.0,0.0,82.0,144.0,8.0,21.9,277868.0
Ene/16,40,1241.26,1,591995,2023055.02,84,2675011,14907680.2,1933,92984,146860.63,149,89,2884.2,17,44234,171660.78,57,2715935,1689108.12,122,4341390,3914226.05,135,440479,916758.87,44,51221136,8873413.69,28,808,49722.61,20,8801628,2241634.09,20,0,0.0,0,0,0.0,0,56370,63541.14,16,62573,196394.79,105,15491,141989.97,84,38258,158021.05,104,90141,211212.06,326,202896,266983.5,157,19664,30657.33,182,1055663,957026.72,140,5216568,1358384.77,101,13.2,20.0,48.8,78.0,123.5,10.0,26.1,291178.0
Feb/16,0,0.0,0,28949,164033.53,77,3023868,14082570.48,1444,344169,278604.56,176,469,9899.97,14,61973,281812.97,103,9780713,3132144.16,129,3371997,3291361.2,115,97963,247983.49,27,80636021,13016108.31,25,264,360.59,12,12027661,2375362.11,19,450,15984.83,2,8,46.0,1,13087,15873.98,15,23903,253723.81,106,187884,87760.13,79,55566,201506.13,110,31388,77838.9,326,63012,72614.17,144,33979,124553.86,163,1239772,1344234.21,127,9173935,2529010.63,110,14.7,23.0,77.1,77.0,137.0,24.0,25.6,291178.0
Mar/16,1,80.96,1,436292,447013.52,80,4945797,15064437.1,1859,390348,350185.9,156,7173,37984.09,18,104158,372821.04,87,2429763,1474373.9,95,5933294,5521115.21,134,166944,336731.73,37,86945548,14558023.27,33,276,375.26,14,25268862,4691631.51,21,0,7.25,1,627,2654.65,4,3998938,2148419.87,16,42078,114155.38,104,33275487,10651313.12,121,63675,250244.07,119,35183,95177.15,337,67633,79783.8,177,37689,78509.35,253,821073,1293451.97,163,12420561,2538371.4,128,14.4,17.0,42.0,79.0,134.0,26.0,18.1,291178.0
Abr/16,1505,24726.61,2,28780,220900.24,91,2545104,12986790.13,1963,334325,328996.72,159,344,6005.93,22,76632,394979.23,97,1459708,940062.31,83,6545056,5048602.48,92,237377,502386.36,41,60522550,9866434.01,21,234,461.87,14,4902846,861367.09,29,0,0.0,0,96,318.17,5,13752,15988.14,18,68354,153012.57,112,4093,18529.19,91,74159,268957.02,114,90445,247827.4,335,115242,118101.39,158,83412,101520.61,201,1040839,2426508.28,180,4067090,1295384.52,106,16.9,24.0,60.9,82.0,163.0,9.0,30.0,276900.0
May/16,3189,66934.29,5,47020,258874.15,90,2689880,13252530.78,2247,196092,237800.42,163,49,743.81,11,64430,346879.2,95,1421997,943298.68,97,6273612,5805313.17,165,371147,740044.14,40,30490025,4684449.44,18,9204,73416.43,19,3000096,466200.68,21,1,81.73,1,24423,10176.34,6,3009649,2100928.43,23,38850,61065.8,112,25251266,8300491.5,107,27018,113215.11,135,68522,158684.46,346,74603,91078.74,155,58563,110715.38,175,1271612,2261931.54,198,17528606,3738895.25,121,18.9,22.0,49.3,81.0,182.0,8.0,24.2,276900.0
